experiment_id,model,block_number,sublayer,bit_width,dataset,baseline_perplexity,measured_perplexity,delta_perplexity,baseline_accuracy,measured_accuracy,accuracy_loss,num_tokens_evaluated,timestamp
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,0,mlp,int8,wikitext2,14.1118,14.245,0.1332,0.5036,0.506,-0.0024,836,2026-07-10T11:25:24.791426
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,1,mlp,int8,wikitext2,14.1118,14.9915,0.8797,0.5036,0.5012,0.0024,836,2026-07-10T11:26:37.540024
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,2,mlp,int8,wikitext2,14.1118,14.0816,-0.0302,0.5036,0.5048,-0.0012,836,2026-07-10T11:27:49.193013
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,3,mlp,int8,wikitext2,14.1118,14.0695,-0.0423,0.5036,0.506,-0.0024,836,2026-07-10T11:29:04.827030
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,4,mlp,int8,wikitext2,14.1118,14.0706,-0.0412,0.5036,0.5084,-0.0048,836,2026-07-10T11:30:19.521426
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,5,mlp,int8,wikitext2,14.1118,14.1256,0.0138,0.5036,0.506,-0.0024,836,2026-07-10T11:31:34.899332
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,6,mlp,int8,wikitext2,14.1118,14.1418,0.03,0.5036,0.5072,-0.0036,836,2026-07-10T11:32:51.925467
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,7,mlp,int8,wikitext2,14.1118,14.0837,-0.0281,0.5036,0.5012,0.0024,836,2026-07-10T11:34:04.555585
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,8,mlp,int8,wikitext2,14.1118,14.096,-0.0158,0.5036,0.5048,-0.0012,836,2026-07-10T11:35:18.749826
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,9,mlp,int8,wikitext2,14.1118,14.085,-0.0268,0.5036,0.506,-0.0024,836,2026-07-10T11:36:34.330353
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,10,mlp,int8,wikitext2,14.1118,14.0771,-0.0347,0.5036,0.5036,0.0,836,2026-07-10T11:37:50.998923
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,11,mlp,int8,wikitext2,14.1118,14.0827,-0.0291,0.5036,0.5048,-0.0012,836,2026-07-10T11:39:06.544035
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,12,mlp,int8,wikitext2,14.1118,14.058,-0.0538,0.5036,0.5072,-0.0036,836,2026-07-10T11:40:22.345354
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,13,mlp,int8,wikitext2,14.1118,14.1518,0.04,0.5036,0.5012,0.0024,836,2026-07-10T11:41:37.831848
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,14,mlp,int8,wikitext2,14.1118,14.1021,-0.0097,0.5036,0.5072,-0.0036,836,2026-07-10T11:42:56.137018
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,15,mlp,int8,wikitext2,14.1118,14.3263,0.2145,0.5036,0.4988,0.0048,836,2026-07-10T11:44:12.765166
