timestamp,interval_sec,cpu_mw,gpu_mw,ane_mw,combined_mw,net_cpu_mw,net_gpu_mw,net_ane_mw,compute_mw,cpu_joules,gpu_joules,ane_joules,combined_joules,net_cpu_joules,net_gpu_joules,net_ane_joules,compute_joules,e_cluster_pct,p_cluster_pct,gpu_active_pct,gpu_freq_mhz,thermal
2026-07-07T10:53:19.810132,1.0,2310.0,28.0,0.0,2338.0,2292.0,24.6,0.0,2292.0,2.31,0.028,0.0,2.338,2.292,0.0246,0.0,2.292,10.17,88.45,3.1,338.0,Nominal
2026-07-07T10:53:20.815644,1.0,2102.0,0.0,0.0,2102.0,2084.0,0.0,0.0,2084.0,2.102,0.0,0.0,2.102,2.084,0.0,0.0,2.084,30.04,89.11,0.0,0.0,Nominal
2026-07-07T10:53:21.821694,1.0,3850.0,49.0,0.0,3899.0,3832.0,45.6,0.0,3832.0,3.85,0.049,0.0,3.899,3.832,0.0456,0.0,3.832,31.28,98.35,6.53,338.0,Nominal
2026-07-07T10:53:22.827185,1.0,3025.0,27.0,0.0,3052.0,3007.0,23.6,0.0,3007.0,3.025,0.027,0.0,3.052,3.007,0.0236,0.0,3.007,13.67,94.57,4.09,338.0,Nominal
2026-07-07T10:53:23.832912,1.0,3511.0,63.0,0.0,3573.0,3493.0,59.6,0.0,3493.0,3.511,0.063,0.0,3.573,3.493,0.0596,0.0,3.493,27.83,89.44,7.15,338.0,Nominal
2026-07-07T10:53:24.838447,1.0,3712.0,118.0,0.0,3831.0,3694.0,114.6,0.0,3694.0,3.712,0.118,0.0,3.831,3.694,0.1146,0.0,3.694,30.6,95.37,11.49,338.0,Nominal
2026-07-07T10:53:25.844120,1.0,2815.0,21.0,0.0,2836.0,2797.0,17.6,0.0,2797.0,2.815,0.021,0.0,2.836,2.797,0.0176,0.0,2.797,1.93,95.27,2.22,338.0,Nominal
2026-07-07T10:53:26.850213,1.0,3570.0,38.0,0.0,3608.0,3552.0,34.6,0.0,3552.0,3.57,0.038,0.0,3.608,3.552,0.0346,0.0,3.552,11.26,98.73,4.25,338.0,Nominal
2026-07-07T10:53:27.855939,1.0,3833.0,90.0,0.0,3924.0,3815.0,86.6,0.0,3815.0,3.833,0.09,0.0,3.924,3.815,0.0866,0.0,3.815,37.68,91.56,9.27,338.0,Nominal
2026-07-07T10:53:28.861657,1.0,3505.0,18.0,0.0,3523.0,3487.0,14.6,0.0,3487.0,3.505,0.018,0.0,3.523,3.487,0.0146,0.0,3.487,14.68,91.15,2.94,338.0,Nominal
2026-07-07T10:53:29.867700,1.0,3318.0,20.0,0.0,3338.0,3300.0,16.6,0.0,3300.0,3.318,0.02,0.0,3.338,3.3,0.0166,0.0,3.3,35.65,86.22,2.6,338.0,Nominal
2026-07-07T10:53:30.873310,1.0,2898.0,11.0,0.0,2909.0,2880.0,7.6,0.0,2880.0,2.898,0.011,0.0,2.909,2.88,0.0076,0.0,2.88,0.0,81.31,1.68,338.0,Nominal
2026-07-07T10:53:31.878660,1.0,3422.0,15.0,0.0,3437.0,3404.0,11.6,0.0,3404.0,3.422,0.015,0.0,3.437,3.404,0.0116,0.0,3.404,9.24,78.61,2.85,539.0,Nominal
2026-07-07T10:53:32.884558,1.0,4482.0,43.0,0.0,4525.0,4464.0,39.6,0.0,4464.0,4.482,0.043,0.0,4.525,4.464,0.0396,0.0,4.464,36.77,73.81,5.19,338.0,Nominal
2026-07-07T10:53:33.890040,1.0,5535.0,20.0,0.0,5555.0,5517.0,16.6,0.0,5517.0,5.535,0.02,0.0,5.555,5.517,0.0166,0.0,5.517,68.34,92.51,3.29,338.0,Nominal
2026-07-07T10:53:34.895300,1.0,6384.0,39.0,0.0,6423.0,6366.0,35.6,0.0,6366.0,6.384,0.039,0.0,6.423,6.366,0.0356,0.0,6.366,74.5,99.7,5.49,579.0,Nominal
2026-07-07T10:53:35.900861,1.0,5633.0,22.0,0.0,5655.0,5615.0,18.6,0.0,5615.0,5.633,0.022,0.0,5.655,5.615,0.0186,0.0,5.615,24.9,95.18,5.01,338.0,Nominal
2026-07-07T10:53:36.906608,1.0,4454.0,19.0,0.0,4473.0,4436.0,15.6,0.0,4436.0,4.454,0.019,0.0,4.473,4.436,0.0156,0.0,4.436,14.65,90.3,3.06,338.0,Nominal
2026-07-07T10:53:37.911820,1.0,3603.0,22.0,0.0,3625.0,3585.0,18.6,0.0,3585.0,3.603,0.022,0.0,3.625,3.585,0.0186,0.0,3.585,32.41,75.23,3.3,461.0,Nominal
2026-07-07T10:53:38.917217,1.0,3804.0,25.0,0.0,3829.0,3786.0,21.6,0.0,3786.0,3.804,0.025,0.0,3.829,3.786,0.0216,0.0,3.786,5.89,98.46,4.07,338.0,Nominal
2026-07-07T10:53:39.929019,1.0,3149.0,19.0,0.0,3168.0,3131.0,15.6,0.0,3131.0,3.149,0.019,0.0,3.168,3.131,0.0156,0.0,3.131,49.75,96.22,3.59,338.0,Nominal
