timestamp,interval_sec,cpu_mw,gpu_mw,ane_mw,combined_mw,net_cpu_mw,net_gpu_mw,net_ane_mw,compute_mw,cpu_joules,gpu_joules,ane_joules,combined_joules,net_cpu_joules,net_gpu_joules,net_ane_joules,compute_joules,e_cluster_pct,p_cluster_pct,gpu_active_pct,gpu_freq_mhz,thermal
2026-07-07T14:46:01.151918,1.0,4793.0,12.0,0.0,4805.0,4775.0,8.6,0.0,4775.0,4.793,0.012,0.0,4.805,4.775,0.0086,0.0,4.775,95.58,99.91,3.27,338.0,Nominal
2026-07-07T14:46:02.158817,1.0,4357.0,0.0,0.0,4357.0,4339.0,0.0,0.0,4339.0,4.357,0.0,0.0,4.357,4.339,0.0,0.0,4.339,96.23,97.27,0.18,338.0,Nominal
2026-07-07T14:46:03.165222,1.0,3737.0,9.0,0.0,3746.0,3719.0,5.6,0.0,3719.0,3.737,0.009,0.0,3.746,3.719,0.0056,0.0,3.719,91.5,74.52,1.55,338.0,Nominal
2026-07-07T14:46:04.171494,1.0,4452.0,7.0,0.0,4459.0,4434.0,3.6,0.0,4434.0,4.452,0.007,0.0,4.459,4.434,0.0036,0.0,4.434,94.81,89.36,1.64,338.0,Nominal
2026-07-07T14:46:05.175868,1.0,5160.0,28.0,0.0,5188.0,5142.0,24.6,0.0,5142.0,5.16,0.028,0.0,5.188,5.142,0.0246,0.0,5.142,98.6,99.95,3.02,338.0,Nominal
2026-07-07T14:46:06.181766,1.0,5337.0,23.0,0.0,5360.0,5319.0,19.6,0.0,5319.0,5.337,0.023,0.0,5.36,5.319,0.0196,0.0,5.319,99.65,99.77,3.84,338.0,Nominal
2026-07-07T14:46:07.187469,1.0,3846.0,0.0,0.0,3846.0,3828.0,0.0,0.0,3828.0,3.846,0.0,0.0,3.846,3.828,0.0,0.0,3.828,48.09,87.58,0.23,338.0,Nominal
2026-07-07T14:46:08.193208,1.0,3484.0,0.0,0.0,3484.0,3466.0,0.0,0.0,3466.0,3.484,0.0,0.0,3.484,3.466,0.0,0.0,3.466,0.0,79.14,0.17,338.0,Nominal
2026-07-07T14:46:09.198918,1.0,2914.0,0.0,0.0,2914.0,2896.0,0.0,0.0,2896.0,2.914,0.0,0.0,2.914,2.896,0.0,0.0,2.896,0.0,83.44,0.75,338.0,Nominal
2026-07-07T14:46:10.203904,1.0,3302.0,4.0,0.0,3306.0,3284.0,0.6,0.0,3284.0,3.302,0.004,0.0,3.306,3.284,0.0006,0.0,3.284,0.0,89.08,0.17,338.0,Nominal
2026-07-07T14:46:11.209835,1.0,2569.0,10.0,0.0,2579.0,2551.0,6.6,0.0,2551.0,2.569,0.01,0.0,2.579,2.551,0.0066,0.0,2.551,0.0,88.17,2.02,844.0,Nominal
2026-07-07T14:46:12.218904,1.0,2912.0,122.0,0.0,3035.0,2894.0,118.6,0.0,2894.0,2.912,0.122,0.0,3.035,2.894,0.1186,0.0,2.894,0.0,78.9,13.61,338.0,Nominal
2026-07-07T14:46:13.224413,1.0,4476.0,373.0,0.0,4849.0,4458.0,369.6,0.0,4458.0,4.476,0.373,0.0,4.849,4.458,0.3696,0.0,4.458,41.48,98.37,35.92,423.0,Nominal
2026-07-07T14:46:14.230460,1.0,2756.0,165.0,0.0,2920.0,2738.0,161.6,0.0,2738.0,2.756,0.165,0.0,2.92,2.738,0.1616,0.0,2.738,17.63,91.79,8.65,790.0,Nominal
2026-07-07T14:46:15.236538,1.0,3264.0,938.0,0.0,4202.0,3246.0,934.6,0.0,3246.0,3.264,0.938,0.0,4.202,3.246,0.9346,0.0,3.246,49.81,94.03,55.34,587.0,Nominal
2026-07-07T14:46:16.242512,1.0,3119.0,720.0,0.0,3839.0,3101.0,716.6,0.0,3101.0,3.119,0.72,0.0,3.839,3.101,0.7166,0.0,3.101,41.98,90.16,41.93,583.0,Nominal
2026-07-07T14:46:17.248537,1.0,2675.0,163.0,0.0,2838.0,2657.0,159.6,0.0,2657.0,2.675,0.163,0.0,2.838,2.657,0.1596,0.0,2.657,0.59,91.53,10.1,716.0,Nominal
2026-07-07T14:46:18.254432,1.0,2567.0,992.0,0.0,3559.0,2549.0,988.6,0.0,2549.0,2.567,0.992,0.0,3.559,2.549,0.9886,0.0,2.549,37.94,70.31,55.56,638.0,Nominal
2026-07-07T14:46:19.260566,1.0,2706.0,559.0,0.0,3264.0,2688.0,555.6,0.0,2688.0,2.706,0.559,0.0,3.264,2.688,0.5556,0.0,2.688,42.13,78.7,54.38,495.0,Nominal
2026-07-07T14:46:20.266816,1.0,2548.0,382.0,0.0,2930.0,2530.0,378.6,0.0,2530.0,2.548,0.382,0.0,2.93,2.53,0.3786,0.0,2.53,34.76,64.83,30.54,432.0,Nominal
2026-07-07T14:46:21.272644,1.0,1977.0,263.0,0.0,2240.0,1959.0,259.6,0.0,1959.0,1.977,0.263,0.0,2.24,1.959,0.2596,0.0,1.959,3.93,82.56,22.6,512.0,Nominal
2026-07-07T14:46:22.278489,1.0,2212.0,400.0,0.0,2612.0,2194.0,396.6,0.0,2194.0,2.212,0.4,0.0,2.612,2.194,0.3966,0.0,2.194,20.99,86.91,32.09,338.0,Nominal
2026-07-07T14:46:23.284355,1.0,2408.0,216.0,0.0,2624.0,2390.0,212.6,0.0,2390.0,2.408,0.216,0.0,2.624,2.39,0.2126,0.0,2.39,12.15,89.04,24.36,500.0,Nominal
2026-07-07T14:46:24.290012,1.0,2136.0,357.0,0.0,2493.0,2118.0,353.6,0.0,2118.0,2.136,0.357,0.0,2.493,2.118,0.3536,0.0,2.118,39.04,74.19,29.91,438.0,Nominal
2026-07-07T14:46:25.295836,1.0,2413.0,292.0,0.0,2705.0,2395.0,288.6,0.0,2395.0,2.413,0.292,0.0,2.705,2.395,0.2886,0.0,2.395,32.13,63.59,24.03,471.0,Nominal
2026-07-07T14:46:26.301658,1.0,1976.0,405.0,0.0,2380.0,1958.0,401.6,0.0,1958.0,1.976,0.405,0.0,2.38,1.958,0.4016,0.0,1.958,35.21,80.67,33.16,338.0,Nominal
2026-07-07T14:46:27.307488,1.0,2182.0,269.0,0.0,2452.0,2164.0,265.6,0.0,2164.0,2.182,0.269,0.0,2.452,2.164,0.2656,0.0,2.164,13.06,76.26,24.59,504.0,Nominal
2026-07-07T14:46:28.313265,1.0,2240.0,401.0,0.0,2641.0,2222.0,397.6,0.0,2222.0,2.24,0.401,0.0,2.641,2.222,0.3976,0.0,2.222,30.14,70.32,31.71,338.0,Nominal
2026-07-07T14:46:29.319021,1.0,2464.0,248.0,0.0,2711.0,2446.0,244.6,0.0,2446.0,2.464,0.248,0.0,2.711,2.446,0.2446,0.0,2.446,24.47,80.15,26.24,476.0,Nominal
2026-07-07T14:46:30.325033,1.0,2551.0,384.0,0.0,2935.0,2533.0,380.6,0.0,2533.0,2.551,0.384,0.0,2.935,2.533,0.3806,0.0,2.533,29.16,61.92,30.53,338.0,Nominal
2026-07-07T14:46:31.331357,1.0,3092.0,580.0,0.0,3672.0,3074.0,576.6,0.0,3074.0,3.092,0.58,0.0,3.672,3.074,0.5766,0.0,3.074,20.58,71.56,36.41,648.0,Nominal
2026-07-07T14:46:37.754898,1.0,2647.0,1069.0,0.0,3716.0,2629.0,1065.6,0.0,2629.0,2.647,1.069,0.0,3.716,2.629,1.0656,0.0,2.629,44.82,62.54,73.33,585.0,Nominal
2026-07-07T14:46:37.756920,1.0,6310.0,373.0,0.0,6682.0,6292.0,369.6,0.0,6292.0,6.31,0.373,0.0,6.682,6.292,0.3696,0.0,6.292,74.55,99.96,46.84,392.0,Nominal
2026-07-07T14:46:37.757267,1.0,4586.0,283.0,0.0,4869.0,4568.0,279.6,0.0,4568.0,4.586,0.283,0.0,4.869,4.568,0.2796,0.0,4.568,41.05,97.42,25.07,451.0,Nominal
2026-07-07T14:46:37.757322,1.0,3027.0,154.0,0.0,3181.0,3009.0,150.6,0.0,3009.0,3.027,0.154,0.0,3.181,3.009,0.1506,0.0,3.009,10.97,99.14,12.7,542.0,Nominal
2026-07-07T14:46:37.757379,1.0,3069.0,325.0,0.0,3393.0,3051.0,321.6,0.0,3051.0,3.069,0.325,0.0,3.393,3.051,0.3216,0.0,3.051,45.8,99.13,23.1,480.0,Nominal
2026-07-07T14:46:37.757454,1.0,3083.0,931.0,0.0,4013.0,3065.0,927.6,0.0,3065.0,3.083,0.931,0.0,4.013,3.065,0.9276,0.0,3.065,55.86,97.32,57.38,592.0,Nominal
2026-07-07T14:46:38.375408,1.0,2815.0,0.0,0.0,2815.0,2797.0,0.0,0.0,2797.0,2.815,0.0,0.0,2.815,2.797,0.0,0.0,2.797,0.0,67.93,0.0,0.0,Nominal
2026-07-07T14:46:39.381279,1.0,2159.0,674.0,0.0,2833.0,2141.0,670.6,0.0,2141.0,2.159,0.674,0.0,2.833,2.141,0.6706,0.0,2.141,11.41,61.69,32.2,700.0,Nominal
2026-07-07T14:46:40.387253,1.0,3701.0,970.0,0.0,4671.0,3683.0,966.6,0.0,3683.0,3.701,0.97,0.0,4.671,3.683,0.9666,0.0,3.683,63.35,99.24,77.52,595.0,Nominal
2026-07-07T14:46:41.393119,1.0,4592.0,577.0,0.0,5168.0,4574.0,573.6,0.0,4574.0,4.592,0.577,0.0,5.168,4.574,0.5736,0.0,4.574,49.12,94.17,36.79,646.0,Nominal
2026-07-07T14:46:42.399541,1.0,5491.0,546.0,0.0,6037.0,5473.0,542.6,0.0,5473.0,5.491,0.546,0.0,6.037,5.473,0.5426,0.0,5.473,34.73,99.09,30.8,551.0,Nominal
2026-07-07T14:46:43.407283,1.0,2524.0,390.0,0.0,2914.0,2506.0,386.6,0.0,2506.0,2.524,0.39,0.0,2.914,2.506,0.3866,0.0,2.506,26.6,99.5,37.5,338.0,Nominal
2026-07-07T14:46:44.413060,1.0,2281.0,376.0,0.0,2657.0,2263.0,372.6,0.0,2263.0,2.281,0.376,0.0,2.657,2.263,0.3726,0.0,2.263,30.84,97.21,32.48,338.0,Nominal
